Price,QuantityInStock,WeightInGrams,LengthInCentimeters,WidthInCentimeters,UnitsSold
29261,31,9956,64,8626,195
15910,32,8281,166,6798,56
16517,15,3882,471,10055,118
19613,19,8344,321,9023,435
25490,29,1234,95,5659,227
23759,19,5621,137,11484,253
19692,18,7892,261,12989,296
24363,11,4437,492,9702,287
24138,36,8905,375,13750,122
11307,41,2258,107,4214,96
2301,26,6343,469,14272,188
28091,37,4590,430,12720,393
8958,11,9869,214,9202,390
26286,27,4805,333,5728,257
6677,37,2317,197,14751,376
20463,37,8845,249,4885,76
15351,21,1427,331,7107,419
28834,37,4101,115,4023,6
8096,26,3493,400,13550,53
3843,45,1441,419,14791,374
25492,45,1828,327,7374,212
3450,48,1196,316,5572,185
17263,18,2089,324,11958,57
2764,17,8840,93,5007,264
7901,28,6541,310,11303,342
7404,30,8429,254,7520,270
6224,26,9856,264,8810,452
4945,15,6903,232,4326,6
17743,24,2632,352,11584,305
5233,22,7195,225,8503,453
26888,35,7185,312,12006,42
17129,15,1420,301,14630,296
5981,37,2305,177,7953,10
18566,29,6369,265,12252,238
7665,36,7529,481,6239,101
27867,37,2237,444,7141,466
16290,15,2286,411,12234,158
21082,29,5919,270,12797,54
14732,12,7286,188,10551,99
11773,43,4629,64,13027,304
16814,15,8638,277,8228,44
14279,44,6714,189,6792,101
13334,25,4636,115,6367,383
22285,15,7219,242,13712,219
13163,49,7871,280,7328,86
19144,36,6294,56,12308,199
25848,45,4112,369,4837,296
17542,11,6597,371,9620,493
9074,46,1028,385,9375,319
29169,38,8938,491,11923,161
19236,30,3844,85,5405,399
11626,30,2338,82,8196,386
17775,12,8628,124,8440,407
3442,45,7825,293,14417,375
16322,48,6013,390,6185,167
11986,11,1426,137,9916,59
6948,22,2647,87,7303,34
27925,10,6413,363,6418,493
18792,26,1633,448,7303,52
22763,46,2687,475,14818,467
26107,27,4459,85,12261,96
19280,24,2994,441,7475,365
25876,28,2136,136,8216,400
26839,19,2263,82,7608,302
25586,11,7624,442,13210,122
6745,29,9489,234,9764,116
25149,17,1314,361,7835,388
28646,24,7917,471,10559,132
6022,16,2754,155,10665,406
14648,29,6620,221,5521,347
10523,33,8747,131,10648,157
17883,45,2746,254,13776,10
26285,39,4886,433,10902,201
27158,48,3159,433,10940,270
27644,34,2939,209,5961,41
24891,36,1839,436,13059,345
15373,26,2725,297,10884,108
9221,33,2604,242,14436,344
28715,11,9213,335,7593,43
23114,47,8507,204,9449,121
23654,48,7767,178,7773,404
10440,18,9847,238,7906,91
18704,14,4472,235,11795,55
4529,22,2768,427,14300,200
3714,27,7166,455,14575,270
25593,42,9733,155,10313,251
20605,28,9025,220,7069,348
10983,29,7198,280,14173,65
17103,47,8674,356,9723,68
29723,22,5845,342,8085,29
21916,33,2664,449,10469,411
29333,48,8643,181,10992,246
23696,29,1436,418,5275,206
8414,37,2789,133,6500,159
16987,37,2002,68,11340,428
6978,24,9695,81,10721,440
8150,38,8446,469,7742,245
18686,28,2459,321,14152,13
2361,33,3228,471,12383,77
3987,17,9389,426,5417,49
27025,10,9164,439,8608,274
13883,11,7514,324,9327,135
5857,39,4857,209,8217,165
13459,32,4654,404,11329,427
22978,48,4910,168,13634,450
29335,45,1532,208,13073,337
21678,12,1195,308,5360,340
7330,32,8511,157,14023,7
27970,33,8317,158,13152,254
16563,30,1204,113,9669,340
5895,41,8858,458,9749,470
21128,12,9742,323,4932,276
4343,31,1046,436,8575,410
21642,20,5399,317,5538,460
16279,25,5072,188,7569,488
23687,40,2033,79,12352,429
6042,43,5654,348,4846,419
11266,43,9001,341,7585,321
3359,26,3524,183,5824,305
13239,29,4984,73,13054,236
20540,38,6597,122,5601,406
22949,12,5541,361,12095,89
24888,43,1227,482,12838,116
26987,42,5679,150,12825,397
22662,39,6230,294,6995,211
29337,37,7824,331,13655,189
25916,19,4579,69,8099,54
7953,17,8955,376,5641,429
23065,13,9758,295,5381,246
15333,38,9609,161,5809,27
6861,46,4763,277,6104,32
18492,35,1097,140,9080,338
12515,49,8384,188,9831,291
21048,17,8657,296,10723,93
22300,41,3410,337,13262,86
23256,40,1443,110,7387,317
7710,35,7832,229,6132,116
3940,11,7907,150,5242,136
24791,49,7811,290,6811,446
19633,12,4690,299,8478,218
8297,44,5721,253,12192,295
2204,36,1308,279,9854,175
24356,12,9680,286,4575,195
22751,29,3653,442,13760,5
27270,46,5127,493,10232,487
22051,37,5907,483,8747,268
13438,25,2054,160,9377,107
12649,41,8536,212,9949,364
15252,47,6768,297,7146,192
6380,36,8884,302,7867,487
11557,13,6899,273,8759,435
9832,32,6956,127,6589,287
7341,14,1312,202,10193,19
29031,37,6260,134,11657,136
14127,30,1658,270,9320,325
7468,42,8971,499,4264,288
19821,46,8053,311,5556,286
11121,47,9009,56,8033,222
4257,47,5105,386,6779,116
24575,14,8196,51,13897,259
26872,19,6261,178,5451,102
10606,32,5056,75,5501,178
28682,28,1314,105,5341,109
10327,36,4688,348,10107,107
15961,43,1923,280,6735,499
8682,20,1603,75,8275,387
16195,47,2143,123,4687,313
17342,21,1741,468,8428,322
7013,48,5422,377,9998,323
14304,32,8696,84,7627,55
12847,18,9730,279,6132,11
6462,26,8679,419,5105,331
3162,41,1026,58,7945,337
17960,29,8711,319,7545,283
7259,12,9007,391,7921,172
23372,43,5339,428,14341,162
25033,49,7909,222,4304,305
4419,37,9399,117,13143,174
26615,28,4858,157,8336,388
17875,21,2416,290,9822,75
9908,45,4196,81,14484,320
27288,21,6992,478,6432,382
29332,10,7369,111,5654,296
23356,22,3476,301,7929,251
29858,40,1290,392,14570,394
4923,48,4575,96,4559,185
20739,18,7109,165,9252,45
20731,36,9851,195,13897,190
4932,33,5019,92,10323,123
14519,18,1698,439,5596,49
9185,35,4292,292,4670,118
6961,13,3181,206,5660,474
9978,44,6392,108,13957,321
12386,33,5592,100,11062,111
3905,10,2961,221,9948,309
9988,36,5268,358,8575,23
10236,31,9117,120,12495,437
19177,10,7126,188,9128,383
20037,25,9419,199,8527,364
14510,35,8983,486,14288,352
8273,14,5393,63,11413,182
28544,29,5911,131,6261,195
19208,26,1228,331,7089,44
9748,18,8458,253,13304,477
16833,47,5013,412,9617,424
27549,41,6638,135,5212,252
9301,20,1208,57,10296,262
8536,11,7194,176,8017,314
24544,49,9025,304,4188,462
29779,41,4030,235,11979,191
27299,19,5905,109,12680,60
15572,13,2151,182,9477,344
9939,40,1912,231,9100,228
10203,42,4395,133,6480,445
3334,36,1057,167,8506,288
24287,26,5468,382,14629,433
7856,24,1637,132,10153,165
9964,36,6456,483,12529,101
17517,28,1243,483,9050,224
2713,16,3236,427,7470,253
17355,31,6065,92,14433,455
25533,42,5928,415,6776,255
14794,25,4468,130,7379,224
4201,37,9043,433,14587,96
11594,17,6163,376,7892,385
7288,40,7284,184,13965,443
6545,15,2064,381,9955,14
13415,13,4332,172,14111,198
2828,35,9136,232,7608,347
21802,44,3979,211,6756,352
27470,31,2908,110,6875,403
5776,26,1490,144,11966,182
13420,12,8421,100,14216,89
15384,33,8058,452,14467,390
17727,25,5881,164,10411,261
26151,17,1622,230,11476,183
19567,20,1728,90,8270,104
27385,34,4825,239,9939,423
11646,49,8913,477,14768,272
13212,16,3354,455,14253,487
19670,25,8033,327,10567,68
10366,20,9861,80,8282,279
17338,49,2241,144,9936,147
13046,12,8348,423,4452,230
13116,26,5075,316,7981,171
20274,48,1487,191,13294,114
25016,21,7250,303,7926,318
23635,19,8423,363,6784,64
24794,21,8284,101,12262,138
20847,27,9131,284,11976,20
7591,26,3411,447,10153,70
21781,29,6847,216,12536,217
17497,42,1058,85,11453,159
19490,42,8190,372,10917,433
19363,48,1312,55,6467,228
2153,37,3720,343,8637,310
10720,49,3538,127,11950,49
29483,40,5708,216,9932,460
4319,24,9332,347,9008,242
10894,18,8232,379,10053,123
7723,19,6256,474,14241,424
5336,32,3651,331,6981,266
8785,41,4105,171,11087,243
26614,42,2557,437,14109,72
7559,47,3374,203,9926,174
23864,44,3776,164,4477,350
19211,21,7543,55,13895,151
25007,37,3037,228,8502,479
20167,31,7482,413,5359,451
8218,29,4351,424,12863,269
23759,19,2361,486,4249,455
3792,47,9631,72,11528,74
7875,14,6772,125,12210,441
15295,30,5271,57,4437,345
9192,29,4024,266,11086,499
2721,18,3587,225,5850,183
29929,11,1324,318,10510,392
16595,44,9870,360,6058,178
13293,15,7706,152,12927,389
26004,45,2376,366,10645,142
19205,24,4220,438,14303,352
16823,42,9948,221,12086,47
21448,25,4019,122,8448,81
21163,18,5385,376,14165,498
26805,15,6238,342,8092,204
12595,39,5532,365,10350,35
10275,49,6198,105,7541,71
9412,16,9822,340,14531,376
10852,35,7710,56,6128,125
7117,22,4151,198,10476,394
14993,12,4934,340,5303,42
25529,12,9410,429,9103,236
26880,25,7549,384,12366,9
19405,45,3953,409,9443,153
19956,15,6292,200,8173,152
22296,41,3620,73,9132,399
19823,37,6676,185,9517,282
27988,10,6483,128,9894,265
25699,14,3804,100,5120,144
11035,44,2539,331,12663,367
10127,25,7970,231,8896,417
2020,20,2693,473,9036,370
10562,48,1115,281,13970,15
4622,45,1086,365,4366,164
2218,10,5029,199,6911,143
25347,31,3726,128,12449,213
21333,40,8608,377,13811,126
3125,33,5474,205,7019,495
25524,37,8612,337,12034,243
7610,41,6418,356,10992,340
14815,24,6735,148,11244,68
12540,49,5285,475,10654,453
20818,39,6564,174,8004,333
9953,35,2494,295,8596,443
14651,22,2929,287,4363,22
25279,35,7952,279,7443,381
23609,14,7691,364,9785,71
21266,46,9563,302,13376,275
6715,38,2451,55,14978,74
16010,16,8992,459,11310,138
10299,12,7679,479,7583,390
19303,44,4375,491,9124,414
16777,15,3725,276,6940,403
27423,23,2208,182,10013,484
9844,23,9861,426,11040,326
11215,35,3596,270,5584,169
15324,42,4801,299,13770,107
26814,45,3720,188,12107,232
20507,31,8204,90,4299,200
29435,20,1194,176,10138,61
22303,18,2170,379,6719,140
2713,44,6602,325,6872,364
4709,46,8670,490,4675,241
17110,11,5465,261,6997,488
19911,39,9736,155,12692,390
9501,44,3561,420,11542,123
3792,14,3943,154,14806,158
5297,23,8035,103,8506,215
26912,27,8010,144,13202,289
6458,12,6283,369,9454,421
21531,22,3150,455,8940,23
3315,20,6521,206,7403,368
23788,27,3568,151,10563,175
17789,47,7940,83,10307,457
16376,23,8144,456,4889,471
25940,35,4831,377,6704,145
8344,39,7053,215,13753,337
8589,43,2349,263,6933,330
11167,33,2148,431,10754,156
2506,42,2282,388,4726,169
10623,36,2324,105,8891,471
25361,37,9638,238,5352,99
12301,31,7927,148,6635,199
3041,41,4415,158,11344,337
15410,37,9429,168,5348,241
14319,37,9185,88,4735,35
4100,15,7278,416,8417,293
26242,11,6028,280,12530,81
24521,15,6270,487,14237,23
26517,19,5068,51,4545,295
5414,41,5386,430,9459,384
8536,48,2244,133,10200,329
3653,14,9228,51,7579,417
4178,13,4234,422,12894,131
27430,19,1086,122,12559,179
14402,18,3093,304,5655,98
2988,18,9983,102,12543,337
24136,22,3770,335,11980,270
24222,32,4042,487,7429,452
5679,40,1941,339,11012,421
11710,47,6230,264,14565,339
20663,33,7141,426,12768,28
12327,24,3345,417,9122,215
19205,29,4917,69,13062,344
26096,40,1287,232,11692,403
2371,41,9441,405,14812,387
11161,38,1902,216,12397,267
22090,14,5279,77,11023,114
12717,31,5877,190,11935,295
16770,10,4208,263,11736,184
15052,13,9140,89,13587,221
12567,29,2098,286,5435,143
14889,17,1753,343,10222,94
10017,12,9382,463,10084,51
18022,25,8712,226,11987,44
4309,45,4752,288,9726,448
7913,24,3214,442,14936,121
12973,27,1167,496,9379,474
25734,37,8171,281,9043,430
18704,49,3732,115,4145,332
8545,23,6959,73,12689,44
6270,42,4300,419,13164,105
11387,47,4975,228,7531,98
3103,18,1923,416,9613,175
4258,12,4341,240,9618,274
14052,47,9942,474,13600,29
27604,46,6177,317,7685,161
25896,47,9374,336,5342,286
8995,12,1080,214,13316,286
16060,34,9569,325,7134,141
2538,34,9822,132,7196,334
5555,24,6778,466,14369,192
26755,30,5374,356,4490,194
2549,23,2738,490,8930,493
10215,37,1414,97,9150,285
8473,44,3068,358,5345,378
7328,19,8344,88,10431,55
27358,33,4387,179,4657,284
2601,11,7151,481,10589,118
27612,35,4787,351,8341,383
13784,14,4326,444,14172,146
20785,11,6925,369,5233,300
20972,23,7890,124,11949,101
8093,18,6751,213,11392,326
10914,35,9622,321,7416,102
25974,12,5740,190,6988,336
18718,19,3499,257,11674,148
18144,32,2593,388,10037,334
27769,49,4811,394,10779,441
7093,11,2105,125,14841,360
6302,46,3057,160,13818,219
21439,23,6810,477,7107,303
21736,11,7420,355,5342,136
11203,11,8795,465,12093,380
8982,37,4340,413,12772,197
8034,22,7059,438,11392,433
14357,37,5946,420,5039,433
20661,38,7629,489,6908,220
25803,21,4358,180,9307,380
2992,41,4772,340,6552,39
14398,38,6388,269,11142,205
27912,32,6772,204,9702,346
14599,19,7921,445,13002,487
8670,41,3990,418,11779,473
8420,30,8623,489,4571,287
21249,24,5803,190,13200,210
14732,30,6362,463,8423,343
10464,31,5142,99,9801,15
29668,47,8664,273,6184,38
16114,18,1809,464,6131,224
23929,24,5576,486,8997,236
25749,23,6244,420,9615,434
12433,16,4789,81,10447,87
20305,27,7185,355,7167,240
29919,21,9843,405,6508,317
11500,44,3815,386,7225,296
12194,26,1778,61,7434,26
26741,20,1123,157,4089,27
7506,42,1399,389,10654,305
2945,16,8814,128,12122,144
2333,19,7543,99,8904,321
4592,38,1903,285,9750,111
25245,23,2693,248,10405,491
6426,46,2202,466,8005,110
15503,23,9775,54,13205,142
16812,43,6836,70,12879,208
21893,39,2381,371,11994,236
24382,12,9182,124,7319,61
15740,46,3480,387,9687,77
24607,30,2965,444,10121,311
3379,25,9110,126,13363,258
20841,38,3996,69,13889,41
6947,13,6846,209,14854,284
8842,26,3986,433,4149,318
13577,18,6946,494,4181,64
24415,13,8048,120,12838,439
13827,48,8697,250,6947,358
2186,18,7978,418,5923,185
16372,31,4451,253,11877,349
22516,46,9563,209,8452,345
9165,42,2502,51,9274,151
19403,40,4757,79,11549,276
14732,28,1782,144,9203,94
5333,41,3519,369,7656,436
20384,21,8789,438,6566,229
23680,14,2446,72,6892,300
13214,18,1157,462,9389,395
8065,24,3043,106,13778,142
6587,37,5592,77,7386,33
27687,26,2167,371,9435,100
17766,45,9702,283,13797,151
8783,32,9426,148,11117,210
10328,45,2702,355,6335,152
15781,21,3337,346,6505,48
25590,39,8368,69,4222,134
3266,39,3811,351,7362,434
15236,23,6821,244,12114,169
23215,40,3843,227,13286,275
24131,17,7846,396,14889,132
16375,48,1300,164,8595,264
16794,26,9300,51,5776,444
24226,16,2777,336,6951,162
12629,46,3275,264,8792,374
14901,22,2442,449,12946,105
4787,11,6875,366,7803,271
9834,16,3743,257,9354,482
8901,37,5840,396,9803,18
26788,29,9859,99,4255,393
8148,26,9870,56,14010,172
11069,13,2596,355,13518,17
11577,19,3339,358,11771,296
24537,42,1568,125,8717,310
26533,41,1944,210,4832,109
25085,18,8284,326,11165,317
3711,22,8949,166,7968,205
9916,14,8534,464,6496,138
14928,25,1449,68,9795,120
17303,29,2488,151,13278,235
9673,31,4309,56,4450,73
11281,40,7977,352,9154,159
4230,26,8617,379,12562,461
2926,26,4542,355,7401,409
11098,40,1387,128,4344,44
27518,49,7461,427,12535,377
8859,10,5608,94,12994,164
20214,47,4973,138,4979,332
3892,48,3329,74,7418,102
26987,11,5577,149,11905,118
29731,22,5511,265,8695,305
23301,36,5792,85,6833,474
15903,19,7034,209,14282,150
27128,27,5067,485,4546,467
8213,10,5123,462,8515,261
24731,26,3593,291,12031,120
4913,40,1655,84,13996,102
19567,47,3163,65,13874,446
12136,44,3943,380,14589,290
14834,49,4908,407,7839,286
21937,33,8334,198,8204,118
20320,21,1423,258,9446,437
28162,28,9638,269,14449,331
26936,31,3173,342,5078,54
27283,19,9481,250,11149,418
24395,10,7693,231,12421,356
25411,25,1813,397,13623,42
24971,10,8930,422,5943,228
12354,26,2614,439,6966,109
6400,42,9555,314,5964,470
7956,42,2784,325,6916,334
18898,47,6050,324,12617,395
14931,28,2485,112,6101,383
5894,44,5339,355,10241,286
28955,20,2173,416,9047,336
3422,43,5700,474,7540,42
17895,44,2526,91,11049,185
3088,18,2387,191,11049,104
9087,36,6329,94,11524,333
29056,17,3723,236,9178,240
25046,15,4139,472,14148,66
13729,36,1606,356,7706,27
13654,14,8273,377,5074,372
29104,33,7184,172,6735,253
29075,22,3471,80,11793,465
17896,46,7959,322,6001,274
28996,12,4214,161,8155,207
5729,13,6584,349,4380,264
21130,49,6765,441,10133,399
13937,48,6618,272,8245,480
9463,27,6571,382,14651,317
27079,33,6454,198,10212,268
7457,48,4306,405,13629,318
27874,18,3073,105,7747,75
21354,44,5550,176,7202,359
7751,22,8457,483,6899,223
2144,15,4379,188,9221,37
4703,44,4821,101,7476,336
2766,43,9975,495,13111,168
27431,40,5593,295,14888,127
16756,32,5166,363,10087,175
22785,12,4455,205,9477,171
22515,26,9942,474,12072,233
17592,43,9372,296,11138,23
8403,18,1316,344,4106,268
13227,45,9088,181,8123,194
25842,20,4622,296,4414,107
4591,20,7303,419,6386,124
24061,20,1094,417,9745,202
18088,19,6074,177,14974,123
4381,42,1887,75,8289,64
8235,46,7907,308,11110,37
29308,23,2055,422,7566,180
18961,21,8770,462,6939,146
12749,32,3649,294,4735,259
9719,44,4696,350,12302,422
23928,26,8049,157,14429,431
28322,25,9308,222,5990,471
7982,17,5344,267,9732,478
7228,12,8847,486,7527,220
26946,10,2090,242,5193,243
25418,33,9521,200,10005,205
20796,45,7999,177,12577,355
26165,15,7043,188,12536,395
5910,32,7032,129,14459,481
27095,37,3993,471,12180,458
15695,23,7584,375,4515,482
7897,45,3717,216,6966,179
28872,30,2660,178,11177,289
3175,39,8882,120,6840,414
10999,29,5876,272,8262,166
10475,36,5787,202,9859,118
22914,18,6663,171,14402,388
26285,35,1094,206,6871,11
8851,13,7364,181,7525,236
11153,24,4142,75,9009,131
8475,42,8702,211,6148,125
3825,26,8776,499,14605,196
21446,43,9039,450,11809,188
19958,48,2491,359,11557,259
12735,10,5801,306,9144,451
22162,27,6910,450,14754,7
26137,33,1215,224,12022,174
28553,27,5087,221,13470,162
14960,21,1227,366,8767,40
14810,45,2611,324,9209,175
11434,45,4229,161,9435,31
3842,25,9289,150,13149,441
3898,17,3522,437,4032,332
22566,34,1612,155,14762,300
17177,27,3668,231,6214,49
4758,44,5703,274,12408,240
27463,11,3829,137,4913,305
5851,49,5075,192,6546,238
11834,19,8738,290,9732,481
3508,34,6384,82,9903,106
24084,33,1203,249,10307,370
10511,22,1103,258,6219,323
20518,12,7505,268,7881,87
2020,18,6211,139,11530,327
18187,38,3910,55,10578,325
21765,26,8333,264,13679,189
8743,24,8098,241,9591,433
7061,24,3500,429,7896,120
8511,15,5343,389,11043,25
17670,11,4513,128,11780,248
4345,17,9971,432,11481,298
12452,27,5962,200,5246,314
20320,48,9729,402,12562,142
25016,14,7590,132,14500,12
24292,14,5901,485,5904,83
3475,29,4612,312,8881,489
10390,16,8205,128,5097,180
15445,21,9223,219,14396,466
15346,30,8596,362,5708,327
11763,36,9213,62,10799,142
11771,29,6997,399,5503,417
9349,28,5991,61,13016,245
6929,16,4998,225,12596,433
13152,42,7944,149,4629,175
10945,30,4651,411,9822,333
13787,28,6628,199,14193,290
11658,48,3709,301,13015,276
28892,38,4263,419,8575,119
25517,21,1499,105,13153,238
16125,44,8822,78,4516,295
15856,20,1906,159,6333,346
15995,32,8672,436,12671,161
14475,46,6464,73,12590,40
10661,32,6656,348,13805,76
8820,21,1785,159,4026,81
25315,41,4843,223,8845,368
22014,45,3922,96,4898,413
3758,12,2214,375,8606,370
4711,12,5292,354,5465,453
22361,14,7820,82,11678,67
15528,16,5611,147,13744,297
6139,35,1798,141,11774,394
25248,13,3758,265,13902,168
6294,44,2701,375,8480,141
12628,35,4765,333,4417,170
22583,13,6622,393,9691,345
6272,46,5804,114,9223,40
8937,29,2063,65,6702,85
4020,34,1991,128,6066,81
20041,13,7664,330,14887,313
7302,28,4257,405,14129,71
11865,14,6059,343,14390,465
16733,35,6245,432,5124,488
12542,34,6926,72,5835,8
20093,11,8023,446,12097,393
21316,13,8765,55,14977,192
6586,18,8436,247,9464,284
4402,27,1794,482,13133,84
29976,11,3742,249,6914,213
19896,16,3501,446,14558,237
8835,38,2428,50,10939,147
25234,43,5208,316,12655,25
6334,14,1927,354,12783,170
3440,46,5932,183,7442,461
8326,23,4366,63,14028,248
18134,15,1447,107,8079,356
26445,10,3949,139,10775,79
19532,12,2831,483,9781,233
20396,17,9432,123,14172,438
22296,40,7090,240,14275,375
14887,20,1906,441,7399,163
16937,26,8809,457,10490,282
5376,12,6222,387,11561,472
28347,40,4716,59,11123,180
8696,17,2325,358,10593,178
9131,35,3637,359,13556,445
29506,23,1335,195,6736,269
11857,24,5536,148,12063,496
24897,44,1682,214,5354,381
16915,25,1890,269,10790,448
8810,13,2641,453,12671,36
14441,24,4168,273,7897,75
11577,48,2997,357,9712,6
11516,20,6439,201,4316,275
2298,21,8797,72,9283,126
19407,45,9716,287,4988,352
9551,49,7667,74,13603,428
17834,26,4994,113,5594,360
11591,20,1252,219,5991,442
22506,13,9253,214,11004,311
18529,20,6247,247,9702,17
24077,40,9334,179,10284,293
22455,28,5191,161,10672,369
28744,16,8474,408,6885,206
3067,34,2276,299,7098,394
2554,43,3645,307,5231,109
18834,46,2281,343,7494,378
14210,14,8937,214,6736,307
27551,28,3969,74,9862,232
22924,48,5623,486,7534,440
10118,38,3207,167,5700,450
9761,26,5065,417,9452,105
16652,44,6928,443,11761,498
2807,37,3291,362,9698,315
14501,41,8142,496,8209,120
12655,29,9799,320,5795,78
3475,16,2139,315,7377,200
29663,13,2652,290,11553,324
13353,20,7695,449,12581,428
22958,27,8657,75,14146,491
19551,42,6418,445,13088,36
18471,24,4315,143,11480,368
11987,33,4932,213,4767,247
6420,11,3790,153,7676,80
22843,26,5813,449,8462,326
17996,29,8445,463,9957,438
10473,30,1631,377,7388,192
28539,36,4361,394,11497,40
8946,39,8607,228,12800,19
5399,11,4041,94,11163,481
27442,40,5538,78,6630,53
7638,39,6711,453,4617,195
16251,46,1353,348,5737,145
18460,45,8541,489,7951,187
11014,26,5723,471,4343,220
20060,13,3775,162,14790,164
6836,48,5362,50,4851,433
27003,49,9916,280,14117,361
6990,48,6002,348,10481,270
11788,23,4933,474,11097,341
7499,38,1222,142,13109,85
14522,26,1562,300,12338,401
10274,12,8912,373,7308,52
17034,17,6074,453,8835,51
26079,45,2342,372,12713,212
10071,11,4255,106,6936,23
9660,20,3888,151,7765,478
3566,37,6495,67,8745,116
23449,20,5042,422,12492,215
4399,10,1537,214,10787,236
12586,16,2138,89,5971,214
24117,28,7570,441,12625,260
16415,34,4245,144,11355,229
24669,32,5802,231,4368,427
21922,18,4691,299,9968,98
15178,33,5862,479,11342,305
19269,32,8387,277,12885,215
6512,26,9053,343,6290,467
19438,18,5904,402,6502,252
11607,10,4382,102,14983,301
13750,47,4128,466,10419,205
6891,38,2584,149,14644,258
27665,19,4395,205,14307,247
12475,28,5209,485,12279,195
7082,23,6730,165,6816,493
12408,30,4033,120,14836,81
14522,43,9909,424,5952,25
14543,16,3373,76,4758,355
15564,40,8279,348,14976,252
24039,10,1394,254,14402,301
29709,24,3954,109,8821,272
3481,26,1126,265,14726,462
14106,16,1829,243,11598,76
23706,38,2447,485,5849,156
24394,49,1174,349,12548,316
27432,28,8262,417,6009,353
23980,27,9971,452,8390,33
3851,45,3541,176,12463,401
6313,29,2792,410,14264,235
11309,24,5074,497,8666,15
28906,43,3763,368,12485,100
16291,23,9271,140,8668,465
29062,17,6525,134,6737,153
23670,17,8311,299,12064,23
25913,13,8072,91,6591,153
5748,25,3851,476,4665,23
11053,41,1506,470,9949,345
10923,43,2489,215,11629,401
18352,29,2284,108,5953,40
22663,18,6215,489,12945,34
8880,15,2041,291,14897,446
22084,21,6183,416,5379,103
5030,43,1787,135,14690,357
9497,20,1999,431,6327,237
8878,24,9188,311,6540,265
3306,13,5741,265,4126,336
26984,47,3145,400,7547,409
11922,38,6553,120,4999,205
